,Retail & recreation,Grocery & pharmacy,Parks,Transit stations,Workplaces,Residential
Thailand,-54%,-23%,-57%,-66%,-25%,+17%
Belarus,-30%,-4%,+19%,-25%,-9%,+3%
South Korea,-17%,+14%,+46%,-14%,-13%,+6%
Burkina Faso,-31%,-25%,-19%,-51%,-3%,+14%
United Arab Emirates,-61%,-30%,-58%,-79%,-57%,+31%
Ireland,-81%,-33%,-59%,-79%,-52%,+20%
County Carlow,-81% ,-26% ,-56% ,-70% ,-47% ,+9% 
County Cavan,-78% ,-34% ,-46% ,-57% ,-45% ,+21% 
County Clare,-77% ,-26% ,-64% ,-81% ,-51% ,+32% 
County Cork,-82% ,-41% ,-75% ,-83% ,-51% ,+20% 
County Donegal,-80% ,-33% ,-53% ,-62% ,-48% ,+29% 
County Dublin,-81% ,-30% ,-51% ,-81% ,-57% ,+21% 
County Galway,-82% ,-32% ,-72% ,-71% ,-52% ,+21% 
County Kerry,-82% ,-40% ,-78% ,-85% ,-54% ,+30% 
County Kildare,-81% ,-30% ,-64% ,-70% ,-52% ,+21% 
County Kilkenny,-81% ,-36% ,-75% ,-74% ,-47% ,+30% 
County Laois,-77% ,-32% ,-70% ,-84% ,-44% ,+22% 
County Leitrim,-92% ,-39% ,-59% ,,-50% ,
County Limerick,-81% ,-33% ,-68% ,-77% ,-50% ,+33% 
County Longford,-76% ,-36% ,,,-45% ,
County Louth,-80% ,-30% ,-64% ,-75% ,-49% ,+31% 
County Mayo,-87% ,-36% ,-50% ,-85% ,-48% ,+29% 
County Meath,-75% ,-27% ,-50% ,-53% ,-47% ,+22% 
County Monaghan,-79% ,-35% ,,-74% ,-43% ,+18% 
County Offaly,-75% ,-32% ,-51% ,-62% ,-47% ,+26% 
County Roscommon,-83% ,-31% ,,,-47% ,+18% 
County Sligo,-88% ,-42% ,-58% ,-79% ,-49% ,+9% 
County Tipperary,-79% ,-31% ,-74% ,-81% ,-46% ,+29% 
County Waterford,-86% ,-41% ,-85% ,-81% ,-48% ,+28% 
County Westmeath,-83% ,-44% ,-59% ,-81% ,-52% ,+27% 
County Wexford,-79% ,-34% ,-71% ,-72% ,-49% ,+30% 
County Wicklow,-85% ,-33% ,-74% ,-73% ,-53% ,+35% 
Norway,-60%,-22%,+14%,-52%,-32%,+11%
Agder,-52% ,-8% ,+24% ,-23% ,-26% ,+8% 
Innlandet,-68% ,-31% ,-15% ,-53% ,-32% ,+11% 
Møre og Romsdal,-52% ,-14% ,+60% ,-44% ,-27% ,+8% 
Nordland,-57% ,-13% ,+68% ,-66% ,-22% ,+6% 
Oslo,-73% ,-27% ,-27% ,-67% ,-44% ,+15% 
Rogaland,-49% ,-21% ,+57% ,-43% ,-29% ,+9% 
Troms Og Finnmark,-76% ,-45% ,+19% ,-63% ,-32% ,+8% 
Trondelag,-59% ,-28% ,+100% ,-53% ,-36% ,+11% 
Vestfold Og Telemark,-54% ,-16% ,+8% ,-51% ,-27% ,+11% 
Vestland,-54% ,-23% ,+25% ,-52% ,-32% ,+10% 
Viken,-56% ,-17% ,+2% ,-59% ,-33% ,+12% 
Malaysia,-81%,-58%,-68%,-84%,-51%,+31%
Oman,-55%,-38%,-42%,-69%,-42%,+19%
Finland,-47%,-13%,+73%,-57%,-25%,+8%
Central Finland,-43% ,-15% ,+80% ,-74% ,-25% ,+8% 
Central Ostrobothnia,-38% ,-3% ,,-55% ,-22% ,+17% 
Kainuu,-52% ,-17% ,+9% ,-57% ,-26% ,+17% 
Kymenlaakso,-47% ,-15% ,+89% ,-69% ,-21% ,+9% 
Lapland,-63% ,-22% ,+60% ,-77% ,-35% ,+6% 
North Karelia,-51% ,-15% ,+50% ,-58% ,-22% ,+16% 
Northern Ostrobothnia,-46% ,-16% ,+95% ,-52% ,-26% ,+8% 
Northern Savonia,-53% ,-11% ,+61% ,-50% ,-24% ,+7% 
Ostrobothnia,-41% ,-10% ,+80% ,-58% ,-19% ,+8% 
Pirkanmaa,-48% ,-14% ,+67% ,-51% ,-25% ,+8% 
Päijänne Tavastia,-51% ,-15% ,+56% ,-49% ,-24% ,+8% 
Satakunta,-41% ,-14% ,+64% ,-43% ,-18% ,+7% 
South Karelia,-53% ,-16% ,+35% ,-66% ,-26% ,+18% 
Southern Ostrobothnia,-46% ,-12% ,+47% ,-55% ,-20% ,+10% 
Southern Savonia,-52% ,-13% ,+60% ,-66% ,-22% ,+16% 
Southwest Finland,-45% ,-14% ,+65% ,-41% ,-23% ,+8% 
Tavastia Proper,-48% ,-17% ,+56% ,-61% ,-21% ,+9% 
Uusimaa,-45% ,-12% ,+76% ,-62% ,-29% ,+10% 
Fiji,-52%,-33%,-28%,-66%,-17%,+18%
Denmark,-22%,-12%,+118%,-49%,-23%,+7%
Capital Region of Denmark,-36% ,-14% ,+89% ,-58% ,-28% ,+7% 
Central Denmark Region,-21% ,-12% ,+166% ,-40% ,-21% ,+7% 
North Denmark Region,-18% ,-6% ,+94% ,-42% ,-20% ,+6% 
Region Zealand,-6% ,-8% ,+158% ,-42% ,-19% ,+6% 
Region of Southern Denmark,-12% ,-11% ,+101% ,-48% ,-22% ,+6% 
Lebanon,-68%,-39%,-47%,-81%,-37%,+13%
Slovenia,-86%,-91%,-34%,-51%,-45%,+13%
Administrative unit Maribor,-87% ,-93% ,-22% ,-66% ,-44% ,+26% 
Ajdovščina,-88% ,-45% ,,-62% ,-53% ,
Brežice,-89% ,-53% ,,,-56% ,
Celje,-86% ,-93% ,-61% ,-43% ,-46% ,+11% 
Cerknica,-87% ,,,,-49% ,
Domžale,-93% ,-89% ,,-62% ,-39% ,+22% 
Dravograd,-70% ,,,,-51% ,
Gornja Radgona,-85% ,-42% ,,,-49% ,
Grosuplje,-92% ,-48% ,,,-37% ,+2% 
Idrija,-66% ,-45% ,,,-54% ,
Ilirska Bistrica,-80% ,,,,-60% ,
Izola,-75% ,-42% ,,,-60% ,
Jesenice,-90% ,-55% ,-69% ,-55% ,-53% ,
Kamnik,-92% ,-50% ,,,-45% ,+2% 
Koper,-93% ,-82% ,-74% ,-65% ,-50% ,+13% 
Kočevje,-73% ,-49% ,,,-50% ,
Kranj,-88% ,-89% ,,-76% ,-48% ,+29% 
Krško,-84% ,-51% ,,,-43% ,
Laško,-80% ,-51% ,,,-53% ,
Lenart,-75% ,-45% ,,,-53% ,
Lendava,-89% ,-58% ,,,-49% ,
Litija,-75% ,-44% ,,,-52% ,
Ljubljana,-85% ,-91% ,-42% ,-55% ,-45% ,+16% 
Ljutomer,-86% ,-48% ,,,-51% ,
Logatec,-76% ,-44% ,,-81% ,-52% ,
Metlika,,,,,-55% ,
Mozirje,-87% ,-45% ,,,-52% ,
Municipality of Hrastnik,,,,,-49% ,
Murska Sobota,-95% ,-47% ,,-50% ,-52% ,+1% 
Nova Gorica,-90% ,-49% ,,-51% ,-50% ,+2% 
Novo Mesto,-89% ,-46% ,,-61% ,-35% ,+19% 
Ormož,-61% ,-46% ,,,-51% ,
Pesnica,-87% ,,,,-53% ,
Piran,-88% ,-32% ,-61% ,,-55% ,
Postojna,-80% ,-51% ,,-46% ,-51% ,
Ptuj,-94% ,-100% ,,-50% ,-32% ,+18% 
Radlje ob Dravi,-81% ,-61% ,,,-55% ,
Radovljica,-93% ,-60% ,-64% ,-66% ,-63% ,
Ravne na Koroškem,-77% ,-42% ,,,-44% ,
Ribnica,,,,,-52% ,
Ruše,-76% ,,,,-54% ,
Sevnica,-75% ,-45% ,,,-49% ,
Sežana,-95% ,-54% ,,,-46% ,
Slovenj Gradec,-87% ,-59% ,,,-59% ,
Slovenska Bistrica,-100% ,-49% ,,,-44% ,
Slovenske Konjice,-93% ,-42% ,,,-50% ,
Tolmin,-68% ,-51% ,,,-51% ,
Trbovlje,-83% ,-48% ,,,-50% ,
Trebnje,-81% ,-57% ,,,-52% ,
Tržič,-84% ,-35% ,,,-55% ,
Velenje,-80% ,-59% ,,-24% ,-49% ,+0% 
Vrhnika,-77% ,-39% ,,,-61% ,
Zagorje ob Savi,-85% ,-40% ,,,-52% ,
Črnomelj,-83% ,-50% ,,,-43% ,
Šentjur,-70% ,-60% ,,,-51% ,
Škofja Loka,-90% ,-49% ,,-59% ,-51% ,+1% 
Šmarje pri Jelšah,-83% ,-58% ,+27% ,,-42% ,
Žalec,-100% ,-45% ,,,-49% ,+0% 
Saudi Arabia,-55%,-24%,-52%,-76%,-47%,+23%
Ecuador,-82%,-64%,-78%,-78%,-59%,+25%
Spain,-94%,-77%,-90%,-89%,-68%,+23%
Andalusia,-95% ,-80% ,-89% ,-90% ,-67% ,+22% 
Aragon,-93% ,-75% ,-86% ,-90% ,-68% ,+21% 
Asturias,-95% ,-77% ,-88% ,-81% ,-65% ,+24% 
Balearic Islands,-93% ,-69% ,-91% ,-91% ,-66% ,+22% 
Basque Country,-94% ,-76% ,-92% ,-88% ,-69% ,+23% 
Canary Islands,-94% ,-75% ,-92% ,-89% ,-69% ,+21% 
Cantabria,-95% ,-75% ,-92% ,-89% ,-64% ,+24% 
Castile and León,-95% ,-78% ,-86% ,-90% ,-65% ,+23% 
Castile-La Mancha,-94% ,-78% ,-85% ,-90% ,-66% ,+22% 
Catalonia,-94% ,-75% ,-89% ,-88% ,-68% ,+22% 
Ceuta,-90% ,-82% ,-91% ,,-66% ,+4% 
Community of Madrid,-94% ,-73% ,-92% ,-90% ,-69% ,+23% 
Extremadura,-94% ,-73% ,-82% ,-89% ,-63% ,+23% 
Galicia,-93% ,-79% ,-86% ,-89% ,-64% ,+25% 
La Rioja,-95% ,-75% ,-90% ,-92% ,-69% ,+24% 
Melilla,-92% ,-84% ,-88% ,-78% ,-59% ,-2% 
Navarre,-93% ,-77% ,-88% ,-89% ,-67% ,+24% 
Region of Murcia,-94% ,-84% ,-91% ,-87% ,-66% ,+25% 
Valencian Community,-95% ,-85% ,-92% ,-91% ,-70% ,+23% 
Kyrgyzstan,-76%,-67%,-35%,-75%,-46%,+16%
Afghanistan,-45%,-22%,-13%,-36%,-38%,+12%
Haiti,-34%,-35%,-17%,-51%,-12%,+7%
Chile,-69%,-49%,-70%,-59%,-42%,+20%
Guatemala,-63%,-33%,-51%,-64%,-33%,+17%
Jamaica,-58%,-39%,-54%,-55%,-33%,+13%
Croatia,-76%,-44%,-30%,-66%,-46%,+13%
Bjelovar-Bilogora County,-75% ,-42% ,-21% ,-73% ,-45% ,+21% 
Brod-Posavina County,-75% ,-48% ,,-78% ,-45% ,+20% 
City of Zagreb,-77% ,-49% ,-10% ,-65% ,-46% ,+14% 
Dubrovnik-Neretva County,-79% ,-42% ,-49% ,-70% ,-54% ,+23% 
Istria County,-67% ,-43% ,-16% ,-70% ,-41% ,+13% 
Karlovac County,-76% ,-42% ,+7% ,-63% ,-47% ,+24% 
Koprivnica-Križevci County,-76% ,-48% ,,,-40% ,+22% 
Krapina-Zagorje County,-82% ,-51% ,,-52% ,-45% ,+28% 
Lika-Senj County,-71% ,-35% ,-55% ,-83% ,-40% ,
Međimurje County,-80% ,-46% ,,-74% ,-52% ,+22% 
Osijek-Baranja County,-78% ,-33% ,+22% ,-71% ,-44% ,+11% 
Požega-Slavonia County,-77% ,-40% ,,-63% ,-44% ,+0% 
Primorje-Gorski Kotar County,-77% ,-46% ,-30% ,-75% ,-45% ,+13% 
Sisak-Moslavina County,-69% ,-47% ,-51% ,-67% ,-37% ,+23% 
Split-Dalmatia County,-79% ,-42% ,-25% ,-75% ,-53% ,+16% 
Varaždin County,-80% ,-44% ,-38% ,-78% ,-42% ,+25% 
Virovitica-Podravina County,-77% ,-36% ,,-70% ,-49% ,+1% 
Vukovar-Srijem County,-73% ,-33% ,,-60% ,-43% ,+20% 
Zadar County,-75% ,-43% ,-13% ,-74% ,-45% ,+16% 
Zagreb County,-79% ,-44% ,-42% ,-63% ,-50% ,+13% 
Šibenik-Knin County,-73% ,-37% ,-9% ,-63% ,-45% ,+15% 
Bahrain,-39%,-16%,-31%,-32%,-24%,+15%
Jordan,-69%,-44%,-56%,-88%,-70%,+27%
Sri Lanka,-84%,-84%,-55%,-77%,-45%,+31%
Egypt,-46%,-11%,-36%,-51%,-35%,+15%
Philippines,-82%,-62%,-60%,-84%,-54%,+26%
Georgia,-68%,-36%,-23%,-56%,-43%,+14%
Senegal,-43%,-31%,-27%,-50%,-9%,+12%
Turkey,-76%,-40%,-61%,-76%,-48%,+19%
Cambodia,-41%,-27%,-30%,-58%,-20%,+11%
Austria,-82%,-55%,-11%,-64%,-46%,+12%
Burgenland,-78% ,-37% ,+44% ,-32% ,-43% ,+16% 
Carinthia,-80% ,-55% ,-25% ,-49% ,-44% ,+11% 
Lower Austria,-75% ,-21% ,+58% ,-67% ,-41% ,+12% 
Salzburg,-88% ,-79% ,-46% ,-74% ,-55% ,+12% 
Styria,-81% ,-50% ,-11% ,-63% ,-42% ,+11% 
Tyrol,-92% ,-82% ,-68% ,-79% ,-61% ,+15% 
Upper Austria,-79% ,-28% ,+32% ,-59% ,-41% ,+11% 
Vienna,-80% ,-44% ,-18% ,-65% ,-47% ,+13% 
Vorarlberg,-81% ,-53% ,-24% ,-69% ,-49% ,+11% 
Kenya,-43%,-29%,-19%,-37%,-20%,+17%
Canada,-63%,-45%,-13%,-67%,-46%,+14%
Alberta,-57% ,-33% ,-51% ,-69% ,-43% ,+14% 
British Columbia,-53% ,-30% ,+31% ,-61% ,-47% ,+13% 
Manitoba,-54% ,-29% ,-30% ,-61% ,-40% ,+12% 
New Brunswick,-43% ,-23% ,+78% ,-53% ,-37% ,+8% 
Newfoundland and Labrador,-43% ,-25% ,+23% ,-58% ,-33% ,+8% 
Northwest Territories,-53% ,-41% ,,-62% ,-34% ,
Nova Scotia,-38% ,-15% ,+44% ,-51% ,-33% ,+5% 
Nunavut,-36% ,,,,-23% ,
Ontario,-60% ,-32% ,-11% ,-67% ,-47% ,+14% 
Prince Edward Island,-41% ,-20% ,-51% ,,-32% ,+25% 
Quebec,-84% ,-78% ,-42% ,-75% ,-52% ,+16% 
Saskatchewan,-55% ,-29% ,-14% ,-59% ,-39% ,+12% 
Yukon,-41% ,-26% ,,,-32% ,
Kuwait,-59%,-33%,-51%,-52%,-48%,+25%
Al Ahmadi Governorate,-57% ,-32% ,-44% ,-38% ,-39% ,+23% 
Al Asimah Governate,-70% ,-37% ,-60% ,-55% ,-54% ,+23% 
Al Farwaniyah Governorate,-53% ,-36% ,-51% ,-60% ,-45% ,+28% 
Al Jahra Governorate,-51% ,-30% ,-32% ,-21% ,-35% ,+21% 
Hawalli Governorate,-62% ,-30% ,-59% ,-41% ,-57% ,+27% 
Mubarak Al-Kabeer Governorate,-58% ,-35% ,-51% ,-36% ,-54% ,+22% 
Gabon,-37%,-24%,-21%,-41%,-10%,+13%
United Kingdom,-82%,-41%,-29%,-70%,-54%,+15%
Aberdeen City,-84% ,-37% ,-39% ,-71% ,-57% ,+30% 
Aberdeenshire,-76% ,-44% ,-35% ,-55% ,-51% ,+27% 
Angus council,-79% ,-41% ,-28% ,-43% ,-48% ,+20% 
Antrim And Newtownabbey,-79% ,-47% ,-70% ,-89% ,-53% ,+30% 
Ards And North Down,-76% ,-37% ,-59% ,-53% ,-56% ,+29% 
Argyll and Bute Council,-84% ,-42% ,-35% ,-64% ,-54% ,+8% 
Armagh City and Banbridge And Craigavon,-80% ,-39% ,-74% ,-66% ,-47% ,+28% 
Bath and North East Somerset,-90% ,-47% ,-37% ,-71% ,-64% ,+31% 
Bedford,-83% ,-42% ,-21% ,-67% ,-47% ,+29% 
Belfast,-83% ,-41% ,-60% ,-76% ,-58% ,+17% 
Blackburn with Darwen,-81% ,-37% ,,-66% ,-46% ,+26% 
Blackpool,-85% ,-38% ,-52% ,-60% ,-51% ,+24% 
Blaenau Gwent,-73% ,-44% ,,-49% ,-43% ,+12% 
Borough of Halton,-74% ,-39% ,-28% ,-57% ,-46% ,+26% 
Bracknell Forest,-79% ,-37% ,-36% ,-63% ,-55% ,+31% 
Bridgend County Borough,-81% ,-42% ,-43% ,-58% ,-51% ,+26% 
Brighton and Hove,-86% ,-41% ,-25% ,-69% ,-62% ,+30% 
Buckinghamshire,-82% ,-39% ,-16% ,-68% ,-57% ,+16% 
Caerphilly County Borough,-74% ,-38% ,-39% ,-39% ,-47% ,+26% 
Cambridgeshire,-84% ,-41% ,-21% ,-76% ,-53% ,+15% 
Cardiff,-84% ,-43% ,-42% ,-76% ,-59% ,+16% 
Carmarthenshire,-79% ,-35% ,-50% ,-58% ,-49% ,+25% 
Causeway Coast and Glens,-86% ,-41% ,-73% ,-67% ,-53% ,+28% 
Central Bedfordshire,-78% ,-38% ,-7% ,-71% ,-53% ,+19% 
Ceredigion,-84% ,-48% ,-56% ,-64% ,-57% ,+6% 
Cheshire East,-81% ,-43% ,-53% ,-76% ,-51% ,+14% 
Cheshire West and Chester,-87% ,-44% ,-46% ,-75% ,-57% ,+15% 
City of Bristol,-86% ,-43% ,-5% ,-78% ,-55% ,+18% 
Clackmannanshire,-88% ,-36% ,,-64% ,-51% ,+6% 
Conwy Principal Area,-83% ,-43% ,-55% ,-57% ,-54% ,+23% 
Cornwall,-84% ,-49% ,-50% ,-61% ,-54% ,+14% 
County Durham,-79% ,-38% ,-27% ,-56% ,-52% ,+13% 
Cumbria,-83% ,-47% ,-40% ,-69% ,-57% ,+14% 
Darlington,-80% ,-41% ,-25% ,-70% ,-48% ,+27% 
Denbighshire,-79% ,-42% ,-44% ,-59% ,-47% ,+14% 
Derby,-82% ,-41% ,-36% ,-78% ,-51% ,+19% 
Derbyshire,-83% ,-40% ,-38% ,-59% ,-52% ,+14% 
Derry And Strabane,-79% ,-37% ,-65% ,-61% ,-55% ,+27% 
Devon,-85% ,-46% ,-41% ,-66% ,-53% ,+14% 
Dorset,-84% ,-44% ,-43% ,-63% ,-55% ,+15% 
Dumfries and Galloway,-78% ,-41% ,-43% ,-69% ,-48% ,+23% 
Dundee City Council,-80% ,-48% ,+7% ,-73% ,-55% ,+26% 
East Ayrshire Council,-78% ,-36% ,,-55% ,-51% ,+26% 
East Dunbartonshire Council,-70% ,-36% ,,-50% ,-54% ,+19% 
East Lothian Council,-81% ,-40% ,-30% ,-49% ,-53% ,+17% 
East Renfrewshire Council,-64% ,-26% ,-51% ,-46% ,-56% ,+19% 
East Riding of Yorkshire,-82% ,-40% ,-43% ,-40% ,-49% ,+13% 
East Sussex,-82% ,-40% ,-27% ,-59% ,-53% ,+13% 
Edinburgh,-86% ,-42% ,-34% ,-83% ,-67% ,+18% 
Essex,-81% ,-43% ,-22% ,-80% ,-54% ,+15% 
Falkirk,-75% ,-38% ,-21% ,-52% ,-45% ,+28% 
Fermanagh And Omagh,-85% ,-41% ,-69% ,-69% ,-53% ,+27% 
Fife,-78% ,-34% ,-23% ,-53% ,-49% ,+13% 
Flintshire,-77% ,-39% ,-32% ,-49% ,-50% ,+27% 
Glasgow City,-83% ,-41% ,-35% ,-81% ,-59% ,+16% 
Gloucestershire,-84% ,-45% ,-39% ,-69% ,-53% ,+15% 
Greater London,-84% ,-41% ,-15% ,-76% ,-61% ,+18% 
Greater Manchester,-81% ,-41% ,-22% ,-78% ,-54% ,+15% 
Gwynedd,-84% ,-52% ,-54% ,-54% ,-53% ,+18% 
Hampshire,-83% ,-41% ,-29% ,-69% ,-52% ,+15% 
Hartlepool,-81% ,-40% ,-54% ,-59% ,-43% ,+19% 
Herefordshire,-83% ,-44% ,-24% ,-60% ,-47% ,+25% 
Hertfordshire,-82% ,-41% ,-11% ,-69% ,-55% ,+16% 
Highland Council,-81% ,-43% ,-36% ,-66% ,-53% ,+24% 
Inverclyde,-79% ,-32% ,-46% ,-60% ,-51% ,+15% 
Isle of Anglesey,-79% ,-41% ,-45% ,-60% ,-48% ,+7% 
Isle of Wight,-84% ,-44% ,-41% ,-73% ,-51% ,+23% 
Kent,-82% ,-43% ,-25% ,-62% ,-50% ,+14% 
Kingston upon Hull,-80% ,-36% ,-15% ,-63% ,-46% ,+13% 
Lancashire,-81% ,-41% ,-17% ,-65% ,-50% ,+14% 
Leicester,-79% ,-40% ,-8% ,-74% ,-49% ,+14% 
Leicestershire,-80% ,-41% ,-32% ,-68% ,-51% ,+14% 
Lincolnshire,-80% ,-40% ,-39% ,-58% ,-45% ,+13% 
Lisburn and Castlereagh,-83% ,-43% ,-81% ,-63% ,-54% ,+31% 
Luton,-73% ,-30% ,+2% ,-88% ,-46% ,+19% 
Medway,-80% ,-33% ,-26% ,-63% ,-49% ,+14% 
Merseyside,-82% ,-39% ,-38% ,-72% ,-52% ,+15% 
Merthyr Tydfil County Borough,-82% ,-46% ,,-46% ,-48% ,+8% 
Mid And East Antrim,-81% ,-38% ,-55% ,-57% ,-54% ,+28% 
Mid Ulster,-78% ,-42% ,,-56% ,-44% ,+31% 
Middlesbrough,-79% ,-36% ,-43% ,-65% ,-48% ,+24% 
Midlothian,-88% ,-41% ,-14% ,-49% ,-53% ,+25% 
Milton Keynes,-83% ,-43% ,-10% ,-77% ,-52% ,+15% 
Monmouthshire,-81% ,-50% ,-54% ,-55% ,-53% ,+16% 
Moray,-85% ,-42% ,-35% ,-51% ,-54% ,+12% 
Na h-Eileanan an Iar,-89% ,-41% ,,-57% ,-54% ,
Neath Port Talbot Principle Area,-72% ,-34% ,-37% ,-55% ,-44% ,+24% 
Newport,-79% ,-43% ,-33% ,-65% ,-48% ,+26% 
Newry and Mourne And Down,-86% ,-41% ,-71% ,-61% ,-53% ,+30% 
Norfolk,-83% ,-46% ,-42% ,-58% ,-50% ,+13% 
North Ayrshire Council,-80% ,-34% ,-24% ,-62% ,-50% ,+25% 
North East Lincolnshire,-82% ,-42% ,-50% ,-55% ,-42% ,+23% 
North Lanarkshire,-75% ,-34% ,,-54% ,-48% ,+13% 
North Lincolnshire,-74% ,-37% ,-30% ,-45% ,-46% ,+23% 
North Somerset,-82% ,-47% ,-38% ,-87% ,-53% ,+27% 
North Yorkshire,-85% ,-45% ,-48% ,-69% ,-54% ,+14% 
Northamptonshire,-81% ,-37% ,-37% ,-67% ,-46% ,+14% 
Northumberland,-80% ,-36% ,-53% ,-52% ,-51% ,+13% 
Nottinghamshire,-86% ,-43% ,-36% ,-76% ,-53% ,+15% 
Orkney,-83% ,-40% ,,,-64% ,
Oxfordshire,-85% ,-43% ,-29% ,-76% ,-57% ,+16% 
Pembrokeshire,-86% ,-46% ,-62% ,-57% ,-46% ,+18% 
Perth and Kinross,-84% ,-44% ,-27% ,-63% ,-53% ,+27% 
Peterborough,-78% ,-38% ,-36% ,-74% ,-41% ,+17% 
Plymouth,-85% ,-45% ,-34% ,-65% ,-54% ,+18% 
Portsmouth,-86% ,-40% ,-18% ,-67% ,-54% ,+19% 
Powys,-86% ,-45% ,-46% ,-53% ,-46% ,+24% 
Reading,-86% ,-43% ,+3% ,-84% ,-55% ,+33% 
Redcar and Cleveland,-84% ,-39% ,-39% ,-48% ,-50% ,+25% 
Renfrewshire,-84% ,-38% ,+6% ,-84% ,-55% ,+29% 
Rhondda Cynon Taff,-78% ,-39% ,-29% ,-48% ,-51% ,+18% 
Rutland,-93% ,-39% ,-70% ,,-54% ,
Scottish Borders,-84% ,-42% ,-26% ,-34% ,-49% ,+20% 
Shetland Islands,-84% ,-49% ,,-54% ,-59% ,
Shropshire,-83% ,-45% ,-43% ,-65% ,-49% ,+14% 
Slough,-76% ,-38% ,+3% ,-75% ,-51% ,+31% 
Somerset,-82% ,-44% ,-43% ,-67% ,-48% ,+14% 
South Ayrshire Council,-86% ,-43% ,-42% ,-54% ,-53% ,+20% 
South Gloucestershire,-80% ,-38% ,-5% ,-56% ,-52% ,+20% 
South Lanarkshire,-75% ,-34% ,+0% ,-60% ,-52% ,+14% 
South Yorkshire,-83% ,-38% ,-22% ,-66% ,-51% ,+14% 
Southampton,-85% ,-37% ,-36% ,-66% ,-52% ,+15% 
Southend-on-Sea,-84% ,-31% ,-21% ,-73% ,-55% ,+29% 
Staffordshire,-83% ,-40% ,-41% ,-71% ,-54% ,+14% 
Stirling,-86% ,-46% ,-49% ,-73% ,-58% ,+11% 
Stockton-on-Tees,-80% ,-43% ,-34% ,-59% ,-50% ,+26% 
Stoke-on-Trent,-80% ,-42% ,-24% ,-69% ,-49% ,+14% 
Suffolk,-83% ,-46% ,-42% ,-58% ,-50% ,+14% 
Surrey,-82% ,-40% ,-34% ,-69% ,-57% ,+16% 
Swansea,-82% ,-47% ,-47% ,-69% ,-53% ,+19% 
Swindon,-82% ,-40% ,+2% ,-63% ,-51% ,+29% 
Thurrock,-85% ,-43% ,-14% ,-48% ,-49% ,+30% 
Torbay,-84% ,-39% ,-41% ,-58% ,-53% ,+24% 
Torfaen Principal Area,-78% ,-34% ,,-46% ,-50% ,+24% 
Tyne and Wear,-81% ,-41% ,-37% ,-68% ,-55% ,+14% 
Vale of Glamorgan,-81% ,-47% ,-55% ,-69% ,-56% ,+27% 
Warrington,-83% ,-37% ,-5% ,-67% ,-49% ,+27% 
Warwickshire,-84% ,-40% ,-40% ,-70% ,-54% ,+15% 
West Berkshire,-86% ,-45% ,-26% ,-82% ,-55% ,+30% 
West Dunbartonshire Council,-73% ,-36% ,,-48% ,-50% ,+23% 
West Lothian,-71% ,-21% ,-22% ,-48% ,-49% ,+27% 
West Midlands,-82% ,-41% ,-22% ,-74% ,-55% ,+15% 
West Sussex,-82% ,-41% ,-21% ,-87% ,-54% ,+15% 
West Yorkshire,-81% ,-39% ,-23% ,-68% ,-52% ,+15% 
Wiltshire,-81% ,-42% ,-40% ,-66% ,-53% ,+14% 
Windsor and Maidenhead,-87% ,-38% ,-53% ,-73% ,-58% ,+31% 
Wokingham,-79% ,-50% ,+2% ,-59% ,-59% ,+32% 
Worcestershire,-84% ,-44% ,-30% ,-69% ,-55% ,+14% 
Wrexham Principal Area,-78% ,-40% ,-36% ,-57% ,-46% ,+24% 
York,-88% ,-47% ,-46% ,-82% ,-61% ,+30% 
Libya,-44%,-21%,-27%,-49%,-35%,+20%
Estonia,-54%,-22%,+49%,-43%,-31%,+8%
Harju County,-56% ,-23% ,+42% ,-49% ,-35% ,+9% 
Hiiu County,,,,,-68% ,
Ida-Viru County,-48% ,-16% ,-39% ,-35% ,-26% ,+18% 
Järva County,-37% ,-14% ,,,-42% ,
Jõgeva County,-38% ,-14% ,,,-40% ,
Lääne County,-48% ,-28% ,,,-47% ,
Lääne-Viru County,-44% ,-15% ,,-27% ,-22% ,+5% 
Pärnu County,-61% ,-25% ,-21% ,-45% ,-31% ,+22% 
Põlva County,-77% ,-12% ,,,-48% ,
Rapla County,-70% ,-11% ,,,-48% ,
Saare County,-84% ,-41% ,,-73% ,-58% ,
Tartu County,-58% ,-26% ,+39% ,-44% ,-32% ,+27% 
Valga County,-46% ,-23% ,,,-43% ,
Viljandi County,-53% ,-21% ,,-35% ,-21% ,
Võru County,-75% ,-5% ,,,-50% ,
The Bahamas,-96%,-97%,-83%,-96%,-76%,+29%
Nigeria,-49%,-36%,-34%,-46%,-14%,+19%
Singapore,-23%,-1%,-27%,-40%,-10%,+14%
Trinidad and Tobago,-65%,-41%,-67%,-82%,-41%,+15%
Latvia,-36%,-6%,+71%,-26%,-24%,+4%
United States,-49%,-20%,-20%,-54%,-40%,+13%
Alabama,-50% ,-18% ,-1% ,-40% ,-36% ,+12% 
Alaska,-41% ,-17% ,+29% ,-52% ,-32% ,+9% 
Arizona,-43% ,-19% ,-23% ,-47% ,-37% ,+11% 
Arkansas,-36% ,-3% ,+25% ,-33% ,-29% ,+8% 
California,-53% ,-27% ,-61% ,-59% ,-42% ,+16% 
Colorado,-47% ,-21% ,+10% ,-58% ,-41% ,+12% 
Connecticut,-50% ,-26% ,+23% ,-61% ,-38% ,+13% 
Delaware,-47% ,-27% ,+37% ,-56% ,-39% ,+12% 
